param_SVM__n_iter,train acc,test acc
1,0.7710704307534331,0.7607752838900156
4,0.7971315688071513,0.7909943453584752
7,0.7890280358439817,0.7779633442294271
10,0.8090702586470981,0.8004932591885346
13,0.8080227379569866,0.8005823115952598
16,0.8142221563858225,0.8006817109343402
19,0.8162050854294844,0.8089355247964092
22,0.8084963778333989,0.8044712390821234
25,0.8141461215212022,0.8073220052481017
28,0.811303355714492,0.8044602615887936
31,0.8126957839854707,0.8064108446398649
34,0.8098422470555166,0.8039466696750158
37,0.8174960566686167,0.8079763842303809
40,0.8151361383114144,0.8043219967641903
43,0.8132587778573964,0.8019355814322495
46,0.8154237157201762,0.8048233500626892
49,0.8145694382465445,0.8060675041892178
52,0.815045394493547,0.8041808944152018
55,0.8171864158299839,0.807421404587182
58,0.8173024080872836,0.8066391077126551
61,0.8139467399226586,0.8048910780437293
64,0.8148580580220719,0.8068463616402473
67,0.8140629059077524,0.804310388709886
70,0.8163767284902116,0.8051967854689402
73,0.8152583847693073,0.8048496903143083
