steps,time,reward,delta,converged
1,0.005131418999994253,0.6666666666666666,0.3333333333333333,False
2,0.004811872000004769,1.0533333333333332,0.1333333333333333,False
3,0.004781152000006728,1.2741333333333331,0.04533333333333334,False
4,0.004774828000009279,1.3853866666666663,0.019199999999999995,False
5,0.004756155999999123,1.4424669866666664,0.007850666666666666,False
6,0.004759167000003117,1.471731575466666,0.0035362133333333295,False
7,0.004754348000005848,1.4866149744639996,0.0015901013333333332,False
8,0.004764287000000422,1.4941511931767462,0.000750912853333334,False
9,0.00476699700000438,1.4979628036805972,0.0003439725226666657,False
10,0.004767298000004416,1.4998899824005387,0.00016404692991999967,False
11,0.004775430000009351,1.5008630644491503,7.79335259477338e-05,False
12,0.004794705999998428,1.5013522383188238,3.6553791897599944e-05,False
13,0.004795608999998535,1.5015969715006974,1.7831465704925848e-05,False
14,0.004804945000003613,1.501718871521867,8.359603828599418e-06,True
